study,setting,arch,draft,target,ctx,batch,method,gamma,alpha,tpot,throughput,speedup
batch_ratio,gpt3_6.7b->gpt3_30b,kv_buffer,gpt3_6.7b,gpt3_30b,2048,64,spec,4,0.8,0.0038009753867647,16837.783328682308,1.0864697025524046
batch_ratio,gpt3_1.3b->gpt3_13b,kv_buffer,gpt3_1.3b,gpt3_13b,2048,256,baseline,0,0.0,0.0094422509373544,27112.17925666864,1.0
batch_ratio,gpt3_1.3b->gpt3_13b,kv_buffer,gpt3_1.3b,gpt3_13b,2048,256,spec,4,0.8,0.0074709658207263,34265.98463210633,1.2638594746557716
batch_bw,edge,hier,gpt3_6.7b,gpt3_175b,2048,1,baseline,0,0.0,0.018633303852944,53.6673478784065,1.0
batch_bw,edge,hier,gpt3_6.7b,gpt3_175b,2048,1,spec,4,0.8,0.0081517964415761,122.67234678478412,2.2857911119946053
batch_bw,tpu_v4,hier,gpt3_6.7b,gpt3_175b,2048,4,baseline,0,0.0,0.0032859132529949,1217.317589365498,1.0
batch_bw,tpu_v4,hier,gpt3_6.7b,gpt3_175b,2048,4,spec,4,0.8,0.0015066430508354,2654.908870274257,2.1809500605820324
batch_bw,tpu_v8,hier,gpt3_6.7b,gpt3_175b,2048,16,baseline,0,0.0,0.0013981954272139,11443.321647733716,1.0
batch_bw,tpu_v8,hier,gpt3_6.7b,gpt3_175b,2048,16,spec,4,0.8,0.0008176030599939,19569.39838277897,1.7101152082581352
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,baseline,0,0.0,0.0083089912882314,7702.499350390101,1.0
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,1,0.6,0.0065137505693613,9825.36855203457,1.2756078391018564
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,1,0.7,0.0061305887711635,10439.454086536727,1.3553333290457223
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,1,0.8,0.0057900005060989,11053.539621038892,1.4350588189895883
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,1,0.9,0.0054852636373569,11667.625155541053,1.5147843089334545
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,2,0.6,0.0064524210815228,9918.757500695474,1.28773233848999
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,2,0.7,0.0057747695524131,11082.693329858716,1.438843786374019
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,2,0.8,0.005183092344174,12347.840970253548,1.6030953601610078
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,2,0.9,0.0046666956899574,13714.200421879965,1.7804870598509552
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,4,0.6,0.0074151952291411,8630.92582491755,1.120535742009563
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,4,0.7,0.0061651127331534,10380.994277011994,1.347743609544899
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,4,0.8,0.0050858145288874,12584.021622589707,1.6337582192658513
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,4,0.9,0.0041748612049297,15329.850947961422,1.99024371838279
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,8,0.6,0.0105995526157411,6037.99068886692,0.7839001880034069
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,8,0.7,0.008200468649141,7804.432007273606,1.0132337118442394
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,8,0.8,0.0060596837600433,10561.607261092782,1.3711922300334731
batch_main,6.7b->175b,kv_buffer,gpt3_6.7b,gpt3_175b,2048,64,spec,8,0.9,0.0042821924984133,14945.614897908805,1.940359124749795
batch_ratio,gpt3_6.7b->gpt3_30b,kv_buffer,gpt3_6.7b,gpt3_30b,2048,128,baseline,0,0.0,0.0072551154552229,17642.724060008302,1.0
batch_ratio,gpt3_6.7b->gpt3_30b,kv_buffer,gpt3_6.7b,gpt3_30b,2048,128,spec,4,0.8,0.0069235885533088,18487.52262131871,1.0478836804586973
batch_ratio,gpt3_1.3b->gpt3_13b,kv_buffer,gpt3_1.3b,gpt3_13b,2048,512,baseline,0,0.0,0.0183780133702384,27859.37683716878,1.0
batch_ratio,gpt3_1.3b->gpt3_13b,kv_buffer,gpt3_1.3b,gpt3_13b,2048,512,spec,4,0.8,0.014844390737208,34491.14275311097,1.2380443020927292
batch_bw,edge,hier,gpt3_6.7b,gpt3_175b,2048,2,baseline,0,0.0,0.0191472152549891,104.45383171210028,1.0
batch_bw,edge,hier,gpt3_6.7b,gpt3_175b,2048,2,spec,4,0.8,0.0085178784232121,234.80025196764788,2.2478854831751267
batch_bw,tpu_v4,hier,gpt3_6.7b,gpt3_175b,2048,8,baseline,0,0.0,0.0036207850599225,2209.4655903631715,1.0
batch_bw,tpu_v4,hier,gpt3_6.7b,gpt3_175b,2048,8,spec,4,0.8,0.0017452545023297,4583.858680393503,2.0746458783456547
