experiment,arch,ctx,gamma,alpha,draft,target,bits,base_E,base_L,spec_E,spec_L,round_E,round_L,yield,latency_speedup,energy_ratio
scheduler,kv_buffer,512,5,0.2,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.2099886939402845,0.0037206095315632,0.2624690683298404,0.0046504642656914,1.24992,0.7988794788221114,1.2735993493995468
scheduler,kv_buffer,512,5,0.25,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1968998725053161,0.0034886999326506,0.2624690683298404,0.0046504642656914,1.3330078125,0.8519845962268007,1.1942145303829428
scheduler,kv_buffer,512,5,0.3,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1838623835084659,0.003257699849174,0.2624690683298404,0.0046504642656914,1.4275300000000002,0.912397931389952,1.1151410469842884
scheduler,kv_buffer,512,5,0.35,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1709190891005461,0.003028368718815,0.2624690683298404,0.0046504642656914,1.5356334375,0.9814916476348946,1.0366388618061602
scheduler,kv_buffer,512,5,0.4,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1581291379469349,0.0028017545460354,0.2624690683298404,0.0046504642656914,1.65984,1.0608775874680727,0.9590667165518854
scheduler,kv_buffer,512,5,0.45,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1455667396704308,0.0025791721874816,0.2624690683298404,0.0046504642656914,1.8030840625,1.152431240497356,0.8828746989168629
scheduler,kv_buffer,512,5,0.5,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1333176220088078,0.0023621405793988,0.2624690683298404,0.0046504642656914,1.96875,1.258315711350352,0.8085827549467841
scheduler,kv_buffer,512,5,0.55,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1214735463298284,0.0021522855627459,0.2624690683298404,0.0046504642656914,2.1607096875000003,1.381005687592716,0.7367474251681398
scheduler,kv_buffer,512,5,0.6,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.1101256496416153,0.0019512219159889,0.2624690683298404,0.0046504642656914,2.38336,1.5233114076464631,0.6679214633129202
scheduler,kv_buffer,512,5,0.65,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.099357615015023,0.0017604323476739,0.2624690683298404,0.0046504642656914,2.6416603125000004,1.6884026287082825,0.6026124143474564
scheduler,kv_buffer,512,5,0.7,gpt3_6.7b,gpt3_175b,8,0.1648781416536418,0.0029723186034757,0.0892396795594407,0.00158116132889,0.2624690683298404,0.0046504642656914,2.94117,1.879832594667842,0.5412462723343028
