study,setting,arch,ctx,gamma,alpha,draft,target,bits,base_E,base_L,spec_E,spec_L,round_E,round_L,yield,latency_speedup,energy_ratio
kv_org,baseline,baseline,512,8,0.2,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.2796000249987061,0.0045264021591098,0.3494998523043666,0.0056579998019898,1.24999936,0.6566625100895473,1.6923846358429733
kv_org,baseline,baseline,512,8,0.25,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.2621258891591876,0.0042435160392214,0.3494998523043666,0.0056579998019898,1.3333282470703125,0.7004376974196912,1.5866158362172542
kv_org,baseline,baseline,512,8,0.3,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.2446547121517559,0.0039606778194144,0.3494998523043666,0.0056579998019898,1.42854331,0.7504570528069955,1.4808649460390175
kv_org,baseline,baseline,512,8,0.35,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.2271928103442873,0.0036779897544049,0.3494998523043666,0.0056579998019898,1.5383402836328124,0.8081367273837555,1.3751701975078066
kv_org,baseline,baseline,512,8,0.4,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.2097548973704362,0.003395690040964,0.3494998523043666,0.0056579998019898,1.66622976,0.8753209414343253,1.2696206504423193
kv_org,baseline,baseline,512,8,0.45,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1923704817871734,0.0031142563886197,0.3494998523043666,0.0056579998019898,1.8168060351953124,0.9544232177984414,1.1643949165162966
kv_org,baseline,baseline,512,8,0.5,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1750919025243011,0.0028345361043237,0.3494998523043666,0.0056579998019898,1.99609375,1.0486084826867892,1.059809796848244
kv_org,baseline,baseline,512,8,0.55,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1580025934007958,0.0025578798854457,0.3494998523043666,0.0056579998019898,2.2119880742578126,1.1620243078606691,0.956370306104546
kv_org,baseline,baseline,512,8,0.6,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1412231448436449,0.0022862399520154,0.3494998523043666,0.0056579998019898,2.47480576,1.3000903955228182,0.8548063633396222
kv_org,baseline,baseline,512,8,0.65,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1249121171901674,0.0020221832131494,0.3494998523043666,0.0056579998019898,2.7979659633203124,1.4698562346616202,0.7560777148150635
kv_org,baseline,baseline,512,8,0.7,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.1092589483544383,0.001768776450345,0.3494998523043666,0.0056579998019898,3.19882131,1.6804376849861218,0.6613310049749387
kv_org,baseline,baseline,512,8,0.75,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0944680683516894,0.0015293291499383,0.3494998523043666,0.0056579998019898,3.699661254882813,1.9435440719844788,0.571803623611632
kv_org,baseline,baseline,512,8,0.8,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0807361997600169,0.0013070260237414,0.3494998523043666,0.0056579998019898,4.32891136,2.274108204033606,0.4886863083464822
kv_org,baseline,baseline,512,8,0.85,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.068227660139128,0.0011045271836659,0.3494998523043666,0.0056579998019898,5.1225536914453125,2.6910325498830305,0.4129736532016073
kv_org,baseline,baseline,512,8,0.9,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0570537940019947,0.0009236351690498,0.3494998523043666,0.0056579998019898,6.12579511,3.218065642231109,0.3453396128486494
kv_org,baseline,baseline,512,8,0.95,gpt3_6.7b,gpt3_175b,8,0.165210685016316,0.0029723186034757,0.0472615678644432,0.0007651103136543,0.3494998523043666,0.0056579998019898,7.395011805507812,3.88482360050696,0.2860684698436774
kv_org,baseline,baseline,1024,1,0.2,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1546612825796907,0.0027792019722598,0.1855935390956288,0.0033350423667117,1.2,1.0769753999090592,0.9285733297198856
kv_org,baseline,baseline,1024,1,0.25,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.148474831276503,0.0026680338933694,0.1855935390956288,0.0033350423667117,1.25,1.1218493749052705,0.89143039653109
kv_org,baseline,baseline,1024,1,0.3,gpt3_6.7b,gpt3_175b,8,0.1665579633073739,0.0029931321555025,0.1427642608427914,0.0025654172051629,0.1855935390956288,0.0033350423667117,1.3,1.166723349901481,0.8571446120491251
