experiment,arch,ctx,Ld,Lt,method,config,tau,L_per_tok,E_per_tok,latency_speedup,energy_ratio,alpha,tree_depth,tree_nodes,tree_layer_counts
eagle,kv_buffer,2048,32,96,vanilla,g10,3.2674224418999995,0.12451341227452983,7.887758928406716,2.3398032621300873,0.4889484688253789,0.7,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,3.831059455871582,0.10619462377693335,6.727288061132377,2.7434240817205566,0.41701289639975697,0.75,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,4.570503270400001,0.08901381172138184,5.638906486706798,3.2729402615719225,0.34954601396289275,0.8,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,5.551045042069238,0.07329032902815187,4.64284478754041,3.975106839907714,0.287801880162218,0.85,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,6.861894039100001,0.05928944913243022,3.755907682648144,4.913806629711753,0.23282219032665583,0.9,,,
eagle,kv_buffer,2048,32,96,vanilla,g10,8.623998154470799,0.047175093303149104,2.98847936622207,6.175650493084358,0.1852506426087843,0.95,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,1.2499999989759998,0.3439638480650639,23.800634583346014,0.8469985722563038,1.4753599776850763,0.2,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,1.3333333134651184,0.32246611210195264,22.313095236099027,0.9034651310174965,1.3831499985572235,0.25,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,1.428571200811,0.3009684147944642,20.825558563634164,0.9679982147556968,1.2909401852344664,0.3,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,1.5384597188812648,0.27947095686181816,19.338038454750578,1.0424585491469949,1.1987313986593289,0.35,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,1.666655481856,0.25797461707581576,17.85059571620642,1.1293238517852817,1.1065274081370804,0.4,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,1.8181254024807276,0.23648248307980418,16.363443997986835,1.231959697076497,1.0143414574590242,0.45,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,1.999755859375,0.21500365042735173,14.877212668404892,1.355032287311485,0.9222125600731877,0.5,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,2.221285733720054,0.19356123492003552,13.39350122912198,1.5051406772603573,0.8302398663079871,0.55,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,2.4967348264959996,0.17220683797346778,11.915880248509975,1.6917846680616722,0.7386447094919518,0.6,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,2.8465794117399468,0.1510426190661952,10.451418668353872,1.9288389596264448,0.647865281042107,0.65,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,3.301036996531,0.1302484068433473,9.012559761091813,2.236778900253965,0.5586729177932913,0.7,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,3.904970943927765,0.11010448372162439,7.618697714274465,2.6460038535349413,0.47226983172904524,0.75,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,4.725122093056001,0.09099337567614788,6.296301475158107,3.2017373358669845,0.39029678689272324,0.8,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,5.860630042895024,0.07336324022881377,5.07638137658565,3.9711562263367615,0.31467605992829084,0.85,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,7.458134171671001,0.057649111672226604,3.9890396874081673,5.053623200220961,0.24727363817087,0.9,,,
eagle,kv_buffer,2048,32,96,vanilla,g12,9.733158334409895,0.04417423357935934,3.0566432993935675,6.595176975634551,0.18947600637253859,0.95,,,
eagle,kv_buffer,2048,32,96,eagle,tree_d5_n31,4.0,0.0779088854656731,5.041764040575057,3.7394565007255474,0.31253019142611893,,5.0,31.0,1 2 4 8 16
eagle,kv_buffer,2048,32,96,eagle,tree_d5_n31,5.0,0.06232710837253848,4.033411232460045,4.674320625906934,0.2500241531408951,,5.0,31.0,1 2 4 8 16
eagle,kv_buffer,2048,32,96,eagle,tree_d5_n31,6.0,0.0519392569771154,3.3611760270500377,5.60918475108832,0.20835346095074594,,5.0,31.0,1 2 4 8 16
eagle,kv_buffer,2048,32,96,eagle,tree_d5_n31,7.0,0.04451936312324177,2.8810080231857467,6.5440488762697075,0.1785886808149251,,5.0,31.0,1 2 4 8 16
eagle,kv_buffer,2048,32,96,eagle,tree_d6_n63,4.0,0.12577801277815404,8.154797343810152,2.3162783525030752,0.5055017161436814,,6.0,63.0,1 2 4 8 16 32
